protein_id,KO,pathway_count,pathway_names,functional_categories,functional_priority,functional_score,pathway_score,preliminary_score,rank
AB_gene_3264,K00826,10,"2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Cysteine and methionine metabolism; Glucosinolate biosynthesis; Metabolic pathways; Pantothenate and CoA biosynthesis; Valine, leucine and isoleucine biosynthesis; Valine, leucine and isoleucine degradation",Amino acid biosynthesis; Cofactor / vitamin metabolism; Other,High,4,10,14,11
AB_gene_1273,K00928,9,"2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Cysteine and methionine metabolism; Glycine, serine and threonine metabolism; Lysine biosynthesis; Metabolic pathways; Microbial metabolism in diverse environments; Monobactam biosynthesis",Amino acid biosynthesis; Other,High,4,9,13,12
AB_gene_163,K01659,9,2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon metabolism; Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Propanoate metabolism,Amino acid biosynthesis; Energy metabolism; Other,High,4,9,13,13
AB_gene_1749,K00640,9,Biofilm formation - Vibrio cholerae; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon metabolism; Cysteine and methionine metabolism; Exopolysaccharide biosynthesis; Metabolic pathways; Microbial metabolism in diverse environments; Sulfur metabolism,Amino acid biosynthesis; Energy metabolism; Other,High,4,9,13,14
AB_gene_1986,K00627,9,2-Oxocarboxylic acid metabolism; Biosynthesis of secondary metabolites; Carbon metabolism; Citrate cycle (TCA cycle); Glycolysis / Gluconeogenesis; Lipoic acid metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Pyruvate metabolism,Energy metabolism; Other,High,4,9,13,15
AB_gene_2358,K02160,9,Biosynthesis of secondary metabolites; Carbon metabolism; Fatty acid biosynthesis; Fatty acid metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Other carbon fixation pathways; Propanoate metabolism; Pyruvate metabolism,Energy metabolism; Other,High,4,9,13,16
AB_gene_3069,K00658,9,2-Oxocarboxylic acid metabolism; Biosynthesis of secondary metabolites; Carbon metabolism; Citrate cycle (TCA cycle); Lipoic acid metabolism; Lysine degradation; Metabolic pathways; Microbial metabolism in diverse environments; Tryptophan metabolism,Energy metabolism; Other,High,4,9,13,17
AB_gene_3075,K01647,9,2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon metabolism; Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Peroxisome - yeast,Amino acid biosynthesis; Energy metabolism; Other,High,4,9,13,18
AB_gene_3226,K01963,9,Biosynthesis of secondary metabolites; Carbon metabolism; Fatty acid biosynthesis; Fatty acid metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Other carbon fixation pathways; Propanoate metabolism; Pyruvate metabolism,Energy metabolism; Other,High,4,9,13,19
AB_gene_3636,K00627,9,2-Oxocarboxylic acid metabolism; Biosynthesis of secondary metabolites; Carbon metabolism; Citrate cycle (TCA cycle); Glycolysis / Gluconeogenesis; Lipoic acid metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Pyruvate metabolism,Energy metabolism; Other,High,4,9,13,20
AB_gene_3637,K00163,9,2-Oxocarboxylic acid metabolism; Biosynthesis of secondary metabolites; Carbon metabolism; Citrate cycle (TCA cycle); Glycolysis / Gluconeogenesis; Lipoic acid metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Pyruvate metabolism,Energy metabolism; Other,High,4,9,13,21
AB_gene_489,K00133,9,"2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Cysteine and methionine metabolism; Glycine, serine and threonine metabolism; Lysine biosynthesis; Metabolic pathways; Microbial metabolism in diverse environments; Monobactam biosynthesis",Amino acid biosynthesis; Other,High,4,9,13,22
AB_gene_655,K01962,9,Biosynthesis of secondary metabolites; Carbon metabolism; Fatty acid biosynthesis; Fatty acid metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Other carbon fixation pathways; Propanoate metabolism; Pyruvate metabolism,Energy metabolism; Other,High,4,9,13,23
AB_gene_679,K00817,9,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Histidine metabolism; Metabolic pathways; Novobiocin biosynthesis; Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Tropane, piperidine and pyridine alkaloid biosynthesis; Tyrosine metabolism",Amino acid biosynthesis; Other,High,4,9,13,24
AB_gene_1026,K00957,8,Biosynthesis of secondary metabolites; Metabolic pathways; Microbial metabolism in diverse environments; Monobactam biosynthesis; Purine metabolism; Selenocompound metabolism; Sulfur cycle; Sulfur metabolism,Nucleotide metabolism; Other,High,4,8,12,25
AB_gene_152,K00012,8,Amino sugar and nucleotide sugar metabolism; Ascorbate and aldarate metabolism; Biosynthesis of cofactors; Biosynthesis of nucleotide sugars; Biosynthesis of various nucleotide sugars; Metabolic pathways; Microbial metabolism in diverse environments; Pentose and glucuronate interconversions,Cofactor / vitamin metabolism; Other,High,4,8,12,26
AB_gene_1825,K00615,8,Biosynthesis of amino acids; Biosynthesis of ansamycins; Biosynthesis of secondary metabolites; Carbon fixation by Calvin cycle; Carbon metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Pentose phosphate pathway,Amino acid biosynthesis; Energy metabolism; Other,High,4,8,12,27
AB_gene_2492,K01007,8,Biosynthesis of secondary metabolites; Carbon metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways; Methane metabolism; Microbial metabolism in diverse environments; Other carbon fixation pathways; Pyruvate metabolism,Energy metabolism; Other,High,4,8,12,28
AB_gene_304,K15633,8,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon metabolism; Glycine, serine and threonine metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways; Methane metabolism; Microbial metabolism in diverse environments",Amino acid biosynthesis; Energy metabolism; Other,High,4,8,12,29
AB_gene_3073,K00242,8,Biosynthesis of secondary metabolites; Butanoate metabolism; Carbon metabolism; Citrate cycle (TCA cycle); Metabolic pathways; Microbial metabolism in diverse environments; Other carbon fixation pathways; Oxidative phosphorylation,Energy metabolism; Other,High,4,8,12,30
AB_gene_3074,K00241,8,Biosynthesis of secondary metabolites; Butanoate metabolism; Carbon metabolism; Citrate cycle (TCA cycle); Metabolic pathways; Microbial metabolism in diverse environments; Other carbon fixation pathways; Oxidative phosphorylation,Energy metabolism; Other,High,4,8,12,31
AB_gene_3460,K00058,8,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon metabolism; Cysteine and methionine metabolism; Glycine, serine and threonine metabolism; Metabolic pathways; Methane metabolism; Microbial metabolism in diverse environments",Amino acid biosynthesis; Energy metabolism; Other,High,4,8,12,32
AB_gene_555,K00925,8,Carbon metabolism; Metabolic pathways; Methane metabolism; Microbial metabolism in diverse environments; Other carbon fixation pathways; Propanoate metabolism; Pyruvate metabolism; Taurine and hypotaurine metabolism,Energy metabolism; Other,High,4,8,12,33
AB_gene_593,K01652,8,"2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Butanoate metabolism; C5-Branched dibasic acid metabolism; Metabolic pathways; Pantothenate and CoA biosynthesis; Valine, leucine and isoleucine biosynthesis",Amino acid biosynthesis; Other,High,4,8,12,34
AB_gene_594,K01653,8,"2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Butanoate metabolism; C5-Branched dibasic acid metabolism; Metabolic pathways; Pantothenate and CoA biosynthesis; Valine, leucine and isoleucine biosynthesis",Amino acid biosynthesis; Other,High,4,8,12,35
AB_gene_1754,K14260,7,"2-Oxocarboxylic acid metabolism; Alanine, aspartate and glutamate metabolism; Arginine biosynthesis; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways; Valine, leucine and isoleucine biosynthesis",Amino acid biosynthesis; Other,High,4,7,11,36
AB_gene_1886,K01638,7,Biosynthesis of secondary metabolites; Carbon metabolism; Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Peroxisome - yeast; Pyruvate metabolism,Energy metabolism; Other,High,4,7,11,37
AB_gene_2116,K00948,7,Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Pentose phosphate pathway; Purine metabolism,Amino acid biosynthesis; Energy metabolism; Nucleotide metabolism; Other,High,4,7,11,38
AB_gene_2769,K01658,7,"Biofilm formation - Pseudomonas aeruginosa; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways; Phenazine biosynthesis; Phenylalanine, tyrosine and tryptophan biosynthesis; Quorum sensing",Amino acid biosynthesis; Other,High,4,7,11,39
AB_gene_311,K00003,7,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Cysteine and methionine metabolism; Glycine, serine and threonine metabolism; Lysine biosynthesis; Metabolic pathways; Microbial metabolism in diverse environments",Amino acid biosynthesis; Other,High,4,7,11,40
AB_gene_344,K01657,7,"Biofilm formation - Pseudomonas aeruginosa; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways; Phenazine biosynthesis; Phenylalanine, tyrosine and tryptophan biosynthesis; Quorum sensing",Amino acid biosynthesis; Other,High,4,7,11,41
AB_gene_3696,K01079,7,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon metabolism; Glycine, serine and threonine metabolism; Metabolic pathways; Methane metabolism; Microbial metabolism in diverse environments",Amino acid biosynthesis; Energy metabolism; Other,High,4,7,11,42
AB_gene_3759,K01595,7,Carbon fixation by Calvin cycle; Carbon metabolism; Metabolic pathways; Methane metabolism; Microbial metabolism in diverse environments; Other carbon fixation pathways; Pyruvate metabolism,Energy metabolism; Other,High,4,7,11,43
AB_gene_477,K01703,7,"2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; C5-Branched dibasic acid metabolism; Glucosinolate biosynthesis; Metabolic pathways; Valine, leucine and isoleucine biosynthesis",Amino acid biosynthesis; Other,High,4,7,11,44
AB_gene_553,K01676,7,Biosynthesis of secondary metabolites; Carbon metabolism; Citrate cycle (TCA cycle); Metabolic pathways; Microbial metabolism in diverse environments; Other carbon fixation pathways; Pyruvate metabolism,Energy metabolism; Other,High,4,7,11,45
AB_gene_1039,K01428,6,Arginine biosynthesis; Atrazine degradation; Epithelial cell signaling in Helicobacter pylori infection; Metabolic pathways; Microbial metabolism in diverse environments; Purine metabolism,Nucleotide metabolism; Other,High,4,6,10,46
AB_gene_1165,K01940,6,"Alanine, aspartate and glutamate metabolism; Arginine biosynthesis; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Fluid shear stress and atherosclerosis; Metabolic pathways",Amino acid biosynthesis; Other,High,4,6,10,47
AB_gene_1577,K01752,6,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon metabolism; Cysteine and methionine metabolism; Glycine, serine and threonine metabolism; Metabolic pathways",Amino acid biosynthesis; Energy metabolism; Other,High,4,6,10,48
AB_gene_1752,K05597,6,"Alanine, aspartate and glutamate metabolism; Arginine biosynthesis; Biosynthesis of secondary metabolites; D-Amino acid metabolism; Metabolic pathways; Two-component system",Amino acid biosynthesis; Other,High,4,6,10,49
AB_gene_2252,K01754,6,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon metabolism; Glycine, serine and threonine metabolism; Metabolic pathways; Valine, leucine and isoleucine biosynthesis",Amino acid biosynthesis; Energy metabolism; Other,High,4,6,10,50
AB_gene_2498,K02257,6,Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Metabolic pathways; Oxidative phosphorylation; Porphyrin metabolism; Thermogenesis,Cofactor / vitamin metabolism; Energy metabolism; Other,High,4,6,10,51
AB_gene_2756,K00029,6,Carbon fixation by Calvin cycle; Carbon metabolism; Metabolic pathways; Microbial metabolism in diverse environments; PPAR signaling pathway; Pyruvate metabolism,Energy metabolism; Other,High,4,6,10,52
AB_gene_2829,K03787,6,Biosynthesis of secondary metabolites; Metabolic pathways; Nicotinate and nicotinamide metabolism; Nucleotide metabolism; Purine metabolism; Pyrimidine metabolism,Nucleotide metabolism; Other,High,4,6,10,53
AB_gene_2837,K01756,6,"Alanine, aspartate and glutamate metabolism; Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Metabolic pathways; Nucleotide metabolism; Purine metabolism",Cofactor / vitamin metabolism; Nucleotide metabolism; Other,High,4,6,10,54
AB_gene_2997,K01778,6,Biosynthesis of amino acids; Biosynthesis of secondary metabolites; D-Amino acid metabolism; Lysine biosynthesis; Metabolic pathways; Microbial metabolism in diverse environments,Amino acid biosynthesis; Other,High,4,6,10,55
AB_gene_2998,K01586,6,Biosynthesis of amino acids; Biosynthesis of secondary metabolites; D-Amino acid metabolism; Lysine biosynthesis; Metabolic pathways; Microbial metabolism in diverse environments,Amino acid biosynthesis; Other,High,4,6,10,56
AB_gene_310,K01733,6,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Glycine, serine and threonine metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Vitamin B6 metabolism",Amino acid biosynthesis; Cofactor / vitamin metabolism; Other,High,4,6,10,57
AB_gene_3153,K01754,6,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon metabolism; Glycine, serine and threonine metabolism; Metabolic pathways; Valine, leucine and isoleucine biosynthesis",Amino acid biosynthesis; Energy metabolism; Other,High,4,6,10,58
AB_gene_3416,K01497,6,Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Folate biosynthesis; Metabolic pathways; Quorum sensing; Riboflavin metabolism,Cofactor / vitamin metabolism; Other,High,4,6,10,59
AB_gene_3493,K00266,6,"Alanine, aspartate and glutamate metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways; Microbial metabolism in diverse environments; Nitrogen metabolism",Amino acid biosynthesis; Other,High,4,6,10,60
AB_gene_3494,K00265,6,"Alanine, aspartate and glutamate metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways; Microbial metabolism in diverse environments; Nitrogen metabolism",Amino acid biosynthesis; Other,High,4,6,10,61
AB_gene_3677,K01919,6,Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Cysteine and methionine metabolism; Glutathione metabolism; Histidine metabolism; Metabolic pathways,Cofactor / vitamin metabolism; Other,High,4,6,10,62
AB_gene_3730,K01714,6,Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Lysine biosynthesis; Metabolic pathways; Microbial metabolism in diverse environments; Monobactam biosynthesis,Amino acid biosynthesis; Other,High,4,6,10,63
AB_gene_3752,K00215,6,Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Lysine biosynthesis; Metabolic pathways; Microbial metabolism in diverse environments; Monobactam biosynthesis,Amino acid biosynthesis; Other,High,4,6,10,64
AB_gene_3764,K01687,6,"2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways; Pantothenate and CoA biosynthesis; Valine, leucine and isoleucine biosynthesis",Amino acid biosynthesis; Other,High,4,6,10,65
AB_gene_478,K01704,6,"2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; C5-Branched dibasic acid metabolism; Metabolic pathways; Valine, leucine and isoleucine biosynthesis",Amino acid biosynthesis; Other,High,4,6,10,66
AB_gene_519,K00287,6,Antifolate resistance; Biosynthesis of cofactors; Folate biosynthesis; Folate transport and metabolism; Metabolic pathways; One carbon pool by folate,Cofactor / vitamin metabolism; Other,High,4,6,10,67
AB_gene_544,K00641,6,Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Cysteine and methionine metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Sulfur metabolism,Amino acid biosynthesis; Other,High,4,6,10,68
AB_gene_545,K01649,6,"2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways; Pyruvate metabolism; Valine, leucine and isoleucine biosynthesis",Amino acid biosynthesis; Other,High,4,6,10,69
AB_gene_595,K00053,6,"2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways; Pantothenate and CoA biosynthesis; Valine, leucine and isoleucine biosynthesis",Amino acid biosynthesis; Other,High,4,6,10,70
AB_gene_628,K04765,6,Metabolic pathways; Nicotinate and nicotinamide metabolism; Nucleotide metabolism; Pantothenate and CoA biosynthesis; Purine metabolism; Pyrimidine metabolism,Nucleotide metabolism; Other,High,4,6,10,71
AB_gene_2369,K00075,4,Amino sugar and nucleotide sugar metabolism; Biosynthesis of nucleotide sugars; Metabolic pathways; Peptidoglycan biosynthesis,Cell wall / envelope; Other,High,5,4,9,72
AB_gene_3508,K01929,4,Lysine biosynthesis; Metabolic pathways; Peptidoglycan biosynthesis; Vancomycin resistance,Cell wall / envelope; Other,High,5,4,9,73
AB_gene_3644,K01921,4,D-Amino acid metabolism; Metabolic pathways; Peptidoglycan biosynthesis; Vancomycin resistance,Amino acid biosynthesis; Cell wall / envelope; Other,High,5,4,9,74
AB_gene_3646,K02563,4,Cell cycle - Caulobacter; Metabolic pathways; Peptidoglycan biosynthesis; Vancomycin resistance,Cell wall / envelope; Other,High,5,4,9,75
AB_gene_791,K01972,4,Base excision repair; DNA replication; Mismatch repair; Nucleotide excision repair,DNA / replication / repair; Other,High,5,4,9,76
AB_gene_1037,K01430,5,Arginine biosynthesis; Atrazine degradation; Metabolic pathways; Microbial metabolism in diverse environments; Purine metabolism,Nucleotide metabolism; Other,High,4,5,9,77
AB_gene_1038,K01429,5,Arginine biosynthesis; Atrazine degradation; Metabolic pathways; Microbial metabolism in diverse environments; Purine metabolism,Nucleotide metabolism; Other,High,4,5,9,78
AB_gene_1949,K01626,5,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways; Phenylalanine, tyrosine and tryptophan biosynthesis; Quorum sensing",Amino acid biosynthesis; Other,High,4,5,9,79
AB_gene_2243,K01626,5,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways; Phenylalanine, tyrosine and tryptophan biosynthesis; Quorum sensing",Amino acid biosynthesis; Other,High,4,5,9,80
AB_gene_2248,K00145,5,2-Oxocarboxylic acid metabolism; Arginine biosynthesis; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways,Amino acid biosynthesis; Other,High,4,5,9,81
AB_gene_2310,K02372,5,Biosynthesis of cofactors; Biotin metabolism; Fatty acid biosynthesis; Fatty acid metabolism; Metabolic pathways,Cofactor / vitamin metabolism; Other,High,4,5,9,82
AB_gene_2861,K01845,5,Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Metabolic pathways; Microbial metabolism in diverse environments; Porphyrin metabolism,Cofactor / vitamin metabolism; Other,High,4,5,9,83
AB_gene_2894,K00931,5,Arginine and proline metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbapenem biosynthesis; Metabolic pathways,Amino acid biosynthesis; Other,High,4,5,9,84
AB_gene_295,K11752,5,Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Metabolic pathways; Quorum sensing; Riboflavin metabolism,Cofactor / vitamin metabolism; Other,High,4,5,9,85
AB_gene_3089,K02302,5,Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Metabolic pathways; Microbial metabolism in diverse environments; Porphyrin metabolism,Cofactor / vitamin metabolism; Other,High,4,5,9,86
AB_gene_3227,K01695,5,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Glycine, serine and threonine metabolism; Metabolic pathways; Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid biosynthesis; Other,High,4,5,9,87
AB_gene_3232,K01696,5,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Glycine, serine and threonine metabolism; Metabolic pathways; Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid biosynthesis; Other,High,4,5,9,88
AB_gene_334,K01719,5,Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Metabolic pathways; Microbial metabolism in diverse environments; Porphyrin metabolism,Cofactor / vitamin metabolism; Other,High,4,5,9,89
AB_gene_3418,K00014,5,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Biosynthesis of various plant secondary metabolites; Metabolic pathways; Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid biosynthesis; Other,High,4,5,9,90
AB_gene_3546,K02204,5,"Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Glycine, serine and threonine metabolism; Metabolic pathways; Microbial metabolism in diverse environments",Amino acid biosynthesis; Other,High,4,5,9,91
AB_gene_3698,K14652,5,Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Folate biosynthesis; Metabolic pathways; Riboflavin metabolism,Cofactor / vitamin metabolism; Other,High,4,5,9,92
AB_gene_389,K09913,5,Biosynthesis of secondary metabolites; Metabolic pathways; Nucleotide metabolism; Purine metabolism; Pyrimidine metabolism,Nucleotide metabolism; Other,High,4,5,9,93
AB_gene_557,K01625,5,Carbon metabolism; Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Pentose phosphate pathway,Energy metabolism; Other,High,4,5,9,94
AB_gene_560,K00131,5,Carbon metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways; Microbial metabolism in diverse environments; Pentose phosphate pathway,Energy metabolism; Other,High,4,5,9,95
AB_gene_633,K01918,5,Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Metabolic pathways; Pantothenate and CoA biosynthesis; beta-Alanine metabolism,Cofactor / vitamin metabolism; Other,High,4,5,9,96
AB_gene_66,K14682,5,2-Oxocarboxylic acid metabolism; Arginine biosynthesis; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways,Amino acid biosynthesis; Other,High,4,5,9,97
AB_gene_703,K00620,5,2-Oxocarboxylic acid metabolism; Arginine biosynthesis; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways,Amino acid biosynthesis; Other,High,4,5,9,98
AB_gene_722,K00549,5,Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Cysteine and methionine metabolism; Metabolic pathways; Selenocompound metabolism,Amino acid biosynthesis; Other,High,4,5,9,99
AB_gene_817,K01579,5,Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Metabolic pathways; Pantothenate and CoA biosynthesis; beta-Alanine metabolism,Cofactor / vitamin metabolism; Other,High,4,5,9,100
AB_gene_825,K02492,5,Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Metabolic pathways; Microbial metabolism in diverse environments; Porphyrin metabolism,Cofactor / vitamin metabolism; Other,High,4,5,9,101
AB_gene_871,K00930,5,2-Oxocarboxylic acid metabolism; Arginine biosynthesis; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Metabolic pathways,Amino acid biosynthesis; Other,High,4,5,9,102
AB_gene_1045,K05515,3,Metabolic pathways; Peptidoglycan biosynthesis; beta-Lactam resistance,Cell wall / envelope; Other,High,5,3,8,103
AB_gene_1154,K14159,3,DNA replication; Homologous recombination; Mismatch repair,DNA / replication / repair; Other,High,5,3,8,104
AB_gene_14,K02338,3,DNA replication; Homologous recombination; Mismatch repair,DNA / replication / repair; Other,High,5,3,8,105
